country_name,country_code,year,health_expenditure_pct_gdp,health_expenditure_percap_usd,gdp_growth_pct_annual,gdp_percap_usd,military_expenditure_pct_gdp,military_expenditure_usd,pop_age_above_65_pct_total_pop,total_pop,gov_revenue_gdp_pct,urban_pop_pct_total_pop
China,CHN,2014,4.77790594,362.2869568,7.461900282,7781.065975,1.738409288,1.82109E+11,9.666198738,1371860000,15.52342363,54.259
Colombia,COL,2014,7.18553209,588.2944946,4.499030001,8187.208249,3.108258848,11845950895,6.818796911,46565429,23.44699431,79.415
Comoros,COM,2014,5.23849726,84.63935852,3.89569329,1615.717185,.,.,4.21207234,711503,.,28.338
"Congo, Dem. Rep.",COD,2014,3.72520614,18.22281265,9.470288099,458.0045418,0.95024714,341224634.4,3.136601162,78403242,11.05703021,42.18
"Congo, Rep.",COG,2014,1.97311735,71.03118896,6.646065409,3601.236581,3.940357267,704893729.4,2.664634195,4975880,31.65453685,65.085
Costa Rica,CRI,2014,7.66376209,836.2312012,3.542109878,10911.49788,.,0,8.451278435,4767119,23.07074924,75.941
Cote d'Ivoire,CIV,2014,3.7310183,74.3581543,9.371999942,1991.365394,1.06778466,521260529.3,2.554254079,24527395,10.64433865,49.014
Croatia,HRV,2014,6.57961845,909.3716431,-0.557150197,14187.96945,1.816339094,1076424946,18.81223962,4201598,36.53186143,55.923
Cuba,CUB,2014,12.14121914,867.6970215,1.047576632,7146.704591,3.536004761,125638766.5,13.91906121,11285775,.,76.861
Curacao,CUW,2014,.,.,-0.637397373,19623.02999,.,.,13.51718204,155909,.,89.443
Cyprus,CYP,2014,6.93137264,1873.891357,-1.776058677,27244.35156,1.54260196,357806822.6,12.26106163,1201801,41.52367135,67.031
Czechia,CZE,2014,7.59510136,1512.593262,2.245212199,20038.41632,0.966227818,2022883295,17.60549396,10525347,30.82683359,73.384
Denmark,DNK,2014,10.30918217,6466.897949,1.277999832,62520.45097,1.149273286,4056861511,18.41555521,5643475,41.87487956,87.41
Djibouti,DJI,2014,2.95930099,65.53726196,7.192987285,2214.620841,.,.,4.032391975,1002717,.,77.314
Dominica,DMA,2014,5.26141691,389.0534363,2.335217421,8131.748761,.,.,9.54556435,70373,.,69.28
Dominican Republic,DOM,2014,4.79757166,312.4422302,7.111226297,6496.45167,0.651437856,437572465.8,5.580257529,10315528,15.07829953,77.67
Ecuador,ECU,2014,6.76601839,433.418457,4.226065204,6405.799793,2.739230809,2786519000,6.448471916,16035124,28.89013397,63.261
"Egypt, Arab Rep.",EGY,2014,4.77415323,155.0648041,2.91591188,3133.391023,1.689694836,5085121576,4.138553476,97528654,19.87671362,42.839
El Salvador,SLV,2014,8.5989418,315.2316895,1.729399842,3666.012489,1.035254877,233900000,7.030190874,6162955,20.59227999,68.874
Equatorial Guinea,GNQ,2014,1.7540164,272.7261963,0.415066302,15548.66247,0.766177996,166540270.5,3.250686245,1399828,24.20620204,70.083
Eritrea,ERI,2014,3.91432285,32.93447495,.,.,.,.,3.88317614,3095173,.,37.59
Estonia,EST,2014,6.36199951,1287.76123,3.322789882,20581.7899,1.925357386,512119045.1,18.56092881,1314545,34.63343543,68.269
Eswatini,SWZ,2014,7.25596571,282.43396,1.435897493,3771.907965,1.822876774,81355664,3.314840548,1136299,30.40042164,23.149
Ethiopia,ETH,2014,4.03365517,21.6064415,10.25749296,549.9865771,0.768407756,414476025.8,2.908257701,101115610,9.737452986,18.998
Faroe Islands,FRO,2014,.,.,5.432142068,60172.06325,.,.,16.5310731,48428,.,41.501
Fiji,FJI,2014,3.36860466,178.3116913,5.603514406,5293.356767,1.539773099,74787941.13,5.082256729,917585,25.99275318,54.216
Finland,FIN,2014,9.78115082,4922.429688,-0.478068425,50073.77608,1.451930187,3985508352,19.66610481,5461512,37.76055962,85.175
France,FRA,2014,11.52531433,4974.746582,0.997832947,43148.04593,1.862961439,53134750899,18.38787321,66312067,44.93248026,79.394
French Polynesia,PYF,2014,.,.,0.593554453,22258.63214,.,.,7.07376419,276387,.,61.633
Gabon,GAB,2014,2.53282261,233.0536804,4.314964441,9201.362766,1.144818396,208124773.3,4.042105753,1978399,25.66528488,87.651
"Gambia, The",GMB,2014,3.05234575,17.33743477,-1.407382495,568.0045356,1.207688536,14599970.28,2.629464715,2164528,.,58.528
Georgia,GEO,2014,7.75487041,367.3204041,4.090490596,4830.334862,2.357939594,415643210.9,14.02932652,3719414,25.45394364,57.067
Germany,DEU,2014,11.02588272,5309.154785,2.169498898,48971.08247,1.149941997,44662831168,20.95866869,80982500,28.91862105,77.19
Ghana,GHA,2014,4.01644135,78.46701813,2.856240163,1949.908329,0.484989051,252653833.7,3.350542591,28041592,14.21503189,53.419
Gibraltar,GIB,2014,.,.,.,.,.,.,17.02069302,32813,.,100
Greece,GRC,2014,7.8914113,1700.494385,0.792225061,21474.72571,2.352287668,5531285909,20.69706729,10892413,43.19429995,77.702
Greenland,GRL,2014,.,.,4.742135673,50485.22441,.,.,7.543659765,56295,.,85.813
Grenada,GRD,2014,4.77353573,381.2259827,7.34212396,7986.334212,.,.,9.952116637,114132,.,35.938
Guam,GUM,2014,.,.,1.793051924,33900.14865,.,.,8.108238763,165486,.,94.449
Guatemala,GTM,2014,5.8885684,217.2376404,4.44397783,3689.144718,0.424656428,245672875.9,4.089703142,15681725,12.27547793,49.634
Guinea,GIN,2014,4.787992,36.63517761,3.696553117,765.1469994,2.276437911,196945589.8,3.531179148,11472924,.,34.836
Guinea-Bissau,GNB,2014,9.96897411,64.99989319,0.964525746,652.022501,1.893804361,21470831.21,2.799889152,1741122,.,41.715
Guyana,GUY,2014,3.94755435,216.0375977,1.68649445,5472.688205,0.95165217,39280967.47,5.167992745,754229,.,26.414
Haiti,HTI,2014,4.52035809,65.10858917,2.888772509,1460.188986,0.035562482,5296049.731,4.061100515,10373235,.,51.444
Honduras,HND,2014,7.91455746,172.528183,3.058080562,2179.88172,1.192715977,241887992.2,3.315270206,9063122,23.11343354,54.514
"Hong Kong SAR, China",HKG,2014,.,.,2.762430301,40315.37395,.,.,14.77734717,7229500,.,100
Hungary,HUN,2014,7.04665947,1006.156494,4.334353641,14352.50188,0.857809631,1209801890,17.68630178,9833038,40.03438605,70.227
Iceland,ISL,2014,8.29044247,4522.905762,1.687215035,54576.74481,.,0,13.36193275,327386,35.20372157,93.667
India,IND,2014,3.61956549,56.3490181,7.410227605,1553.883961,2.543981765,50914096277,5.307154613,1312277191,11.55062064,32.384
Indonesia,IDN,2014,2.96433568,102.0048218,5.006668426,3441.068085,0.777855178,6929248704,6.041340635,258877399,.,52.635
